Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000187122	1.983539671	1.09e-07	9.81e-05	0.003960893	0.083600424
ENSG00000119953	0.231710188	0.028027238	1	0.19154071	0.70550273
ENSG00000119950	1.408710923	4.4e-28	1.85e-26	1.23e-08	5.56e-06
ENSG00000148700	0.35692309	0.224339934	1	0.433403666	0.923413015
ENSG00000108039	0.264651724	0.000434533	1	0.047744776	0.361396218
ENSG00000171206	-0.086768539	0.52338812	1	0.652012179	0.987077107
ENSG00000138175	0.007959538	0.970251955	1	0.973713194	0.99957234
ENSG00000156398	-0.013134568	0.967727006	1	0.971241436	0.99957234
ENSG00000189221	-0.479657251	0.068700489	1	0.267116724	0.801880239
ENSG00000183690	-0.950619726	0.400058973	1	0.567481489	0.97065825
ENSG00000069509	-0.079955202	0.572769669	1	0.685334422	0.990939738
ENSG00000076685	-0.16806372	0.339070075	1	0.52306703	0.960674177
ENSG00000038945	-2.493471865	0.007414555	1	0.120830812	0.570483808
ENSG00000148843	-0.245576094	0.285472256	1	0.482503283	0.946804015
ENSG00000148835	0.500085463	0.000201408	0.445379621	0.037373114	0.320325851
ENSG00000156374	-0.018240677	0.944734364	1	0.951497838	0.99957234
ENSG00000120280	-1.441424038	0.308527354	NA	0.500450234	0.953268507
ENSG00000198814	0.13606012	0.604310925	1	0.707839065	0.991487716
ENSG00000229894	0.13606012	0.604310925	1	0.707839065	0.991487716
ENSG00000065613	0.229579978	0.005009316	1	0.105826243	0.536513288
ENSG00000065618	1.982020571	1.15e-05	0.017024312	0.015478935	0.197863292
ENSG00000156384	-0.05477647	0.738071441	1	0.799748285	0.995548754
ENSG00000148834	0.018943989	0.931497166	1	0.940741259	0.99957234
ENSG00000065621	0.57542645	0.065302364	1	0.261853234	0.796835349
ENSG00000165806	0.647544537	1.19e-08	8.32e-06	0.002080482	0.05649042
ENSG00000198924	0.640045073	7.22e-10	3.86e-07	0.000938571	0.033296492
ENSG00000196865	0.626610897	4.64e-05	0.082666694	0.023661393	0.251558593
ENSG00000095627	0.530229208	0.715891884	1	0.782982708	0.995548754
ENSG00000165816	-2.267983907	0.001706242	1	0.073864936	0.455690499
ENSG00000169129	-2.367236689	1.17e-81	2.1e-81	2.22e-16	7.84e-13
ENSG00000099204	-0.593085695	0.005389121	1	0.108505797	0.54214424
ENSG00000165832	-0.709249978	0.00444674	1	0.101642996	0.526631949
ENSG00000151892	-1.586898671	5.04e-05	0.090854372	0.024272306	0.255118196
ENSG00000266200	0.881997751	0.253364723	1	0.457125977	0.936403043
ENSG00000165868	-0.734581761	0.04458305	1	0.226665297	0.756842251
ENSG00000169609	0.203724711	0.063884571	1	0.259553943	0.795686618
